公司統一編號,公司名稱,分公司統一編號,分公司名稱,Address,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,Longitude,Latitude
16740494,全聯實業股份有限公司,716,關西中山東分公司,新竹縣關西鎮東安里中山東路26號,1,1131001,       ,121.184853,24.788608
16740494,全聯實業股份有限公司,30084,鳳山五甲二分公司,高雄市鳳山區南和里五甲二路505、507號,1,1131203,       ,120.3329316,22.59612
16740494,全聯實業股份有限公司,69968,大安忠孝東分公司,臺北市大安區仁愛里仁愛路四段27巷18號、18號地下及大安路一段106巷16號地下、116巷15號地下,1,1130903,       ,121.545058,25.0400887
16740494,全聯實業股份有限公司,77518,三重成功分公司,新北市三重區福德里成功路110號地下室,1,1131203,       ,121.4869073,25.0516454
16740494,全聯實業股份有限公司,81891,中壢永順分公司,桃園市中壢區洽溪里永順一街126號及永春路105號,1,1130919,       ,121.206767,25.0122143
16740494,全聯實業股份有限公司,85593,觀音莊敬分公司,桃園市觀音區草漯里莊敬路186號1樓,1,1130919,       ,121.1354452,25.0449204
16740494,全聯實業股份有限公司,112753,大雅永和分公司,臺中市大雅區文雅里永和路136-8、136-9號,1,1131204,       ,120.6449264,24.2218307
16740494,全聯實業股份有限公司,191166,永和永平分公司,新北市永和區前溪里永平路26號1樓及地下1樓,1,1131203,       ,121.5133259,25.0090038
16740494,全聯實業股份有限公司,198626,觀音中山東分公司,桃園市觀音區富源里中山東路二段945號,1,1131112,       ,121.1495008,24.9645527
16740494,全聯實業股份有限公司,228706,林園石化三分公司,高雄市林園區中芸里石化三路351號1樓,1,1131001,       ,120.3960749,22.4901421
16740494,全聯實業股份有限公司,16741228,北投捷運分公司,臺北市北投路2段11號地下1樓,1,0870908,1120904,121.498764,25.1305339
16740494,全聯實業股份有限公司,16741233,台北忠孝分公司,臺北市大安區忠孝東路４段５５９巷１６弄２１號１樓、地下１樓,3,0870908,0950221,121.5334554,25.0420032
16740494,全聯實業股份有限公司,16741249,台北縣土城分公司,新北市土城區立仁街４０２號１樓、地下１樓,3,0870908,0910618,121.4604165,24.9831467
16740494,全聯實業股份有限公司,16741254,彰化鹿港分公司,彰化縣鹿港鎮復興路210號,1,0870908,0970220,120.438425,24.0548932
16740494,全聯實業股份有限公司,16741260,花蓮國聯分公司,花蓮縣花蓮市國聯二路110號,1,0870908,1120605,121.6019989,23.9888393
16740494,全聯實業股份有限公司,16741276,玉里和平分公司,花蓮縣玉里鎮和平路92號,1,0870908,1121106,121.3141784,23.3334477
16740494,全聯實業股份有限公司,16741281,苗栗苑裡分公司,苗栗縣苑裡鎮世界路１段２２號１樓,3,0870908,1011012,120.6569757,24.4396314
16740494,全聯實業股份有限公司,16741297,豐原成功分公司,臺中市豐原區成功路198號,1,0870908,1100708,120.7088179,24.2459381
16740494,全聯實業股份有限公司,16741304,台中大智分公司,臺中市東區大智路３５０巷２號１樓,1,0870908,1111206,120.6900262,24.1292855
16740494,全聯實業股份有限公司,16741310,霧峰民生分公司,臺中市霧峰區民生路75號1樓,1,0870908,1100510,120.7001076,24.0645293
16740494,全聯實業股份有限公司,16741326,台中東勢分公司,臺中市東勢區東蘭街６９-４、６９-５號,3,0870908,0890908,120.8272085,24.2599898
16740494,全聯實業股份有限公司,16741331,台中沙鹿分公司,臺中市沙鹿區大同街119-1號1樓,1,0870908,1040420,120.5589554,24.2394263
16740494,全聯實業股份有限公司,16741347,嘉義大林分公司,嘉義縣大林鎮平林里２２鄰中正路８００號１樓,3,0870908,0910826,120.4585203,23.6065507
16740494,全聯實業股份有限公司,16741352,新營復興分公司,臺南市新營區復興路150-3號1樓,1,0870908,1130513,120.3079561,23.3032453
16740494,全聯實業股份有限公司,16741368,台南麻豆分公司,臺南市麻豆區大埕里博愛路7號,3,0870908,1090407,120.2507486,23.1853825
16740494,全聯實業股份有限公司,16741374,基隆七堵分公司,基隆市七堵區南興路106號,1,0870908,1130604,121.7122079,25.0965557
16740494,全聯實業股份有限公司,16741389,基隆南榮分公司,基隆市南榮路１６之１號地下１層、１樓、２樓、１６之２號１樓、,3,0870908,0940309,121.7424882,25.125812
16740494,全聯實業股份有限公司,16741395,內湖港墘分公司,臺北市內湖區港墘路127巷10號地下1層,1,0870908,1111007,121.5769332,25.0778967
16740494,全聯實業股份有限公司,16834339,澎湖馬公分公司,澎湖縣馬公市東文里文山路69號1樓,3,0880122,1041021,119.5839766,23.5611056
16740494,全聯實業股份有限公司,16834345,光復中山分公司,花蓮縣光復鄉中山路2段299-1、299-2號1樓,1,0880122,1130408,121.4243673,23.6677427
16740494,全聯實業股份有限公司,16834350,台中大墩分公司,臺中市西屯區臺灣大道二段799號,3,0880122,1031117,120.6536515,24.1605591
16740494,全聯實業股份有限公司,16834366,沙鹿中山分公司,臺中市沙鹿區鹿寮里中山路434號1樓,1,0880122,1110318,120.562252,24.243908
16740494,全聯實業股份有限公司,16834372,斗六莊敬分公司,雲林縣斗六市林頭里莊敬路43號,1,0880122,1110620,120.5506309,23.7038635
16740494,全聯實業股份有限公司,16834387,雲林虎尾分公司,雲林縣虎尾鎮光復路503-8號1樓,1,0880122,1070516,120.433116,23.7114039
16740494,全聯實業股份有限公司,16836300,苗栗頭份分公司,苗栗縣頭份市忠孝二路１７號,3,0880210,0881119,120.9076378,24.6917344
16740494,全聯實業股份有限公司,16836316,台北興隆分公司,臺北市文山區興隆路1段53號地下1樓,3,0880210,0970515,121.5451431,24.9988052
16740494,全聯實業股份有限公司,16836322,台中清水分公司,臺中市清水區鎮北街九號三樓,3,0880210,0921029,120.5759854,24.268501
16740494,全聯實業股份有限公司,16836532,嘉義吳鳳分公司,嘉義市東區吳鳳南路529號1樓,1,0880212,1051223,120.4571606,23.4611607
16740494,全聯實業股份有限公司,16836548,鳳山光復分公司,高雄市鳳山區光復路107號,1,0880212,1081015,120.3591791,22.6287133
16740494,全聯實業股份有限公司,16836553,高雄大寮分公司,高雄市大寮區正氣路２９巷１６號,3,0880212,0881207,120.3960796,22.6022144
16740494,全聯實業股份有限公司,16841922,蘆洲民族分公司,新北市蘆洲區水湳街74號1、2樓,1,0880426,1110906,121.470504,25.0900142
16740494,全聯實業股份有限公司,16846813,台南歸仁分公司,臺南市歸仁區新厝村6鄰復興路87號1樓,1,0880622,1070323,120.311269,23.303229
16740494,全聯實業股份有限公司,16846829,中山吉林分公司,臺北市中山區吉林路213、215、217、219號1樓,1,0880622,1121201,121.5303892,25.0604993
16740494,全聯實業股份有限公司,16849608,新店北新分公司,新北市新店區北新路2段252號地下1層,1,0880716,1100709,121.5431641,24.9779922
16740494,全聯實業股份有限公司,24789225,學甲華宗分公司,臺南市學甲區華宗路501號,1,1040331,1131209,120.1823726,23.2361595
16740494,全聯實業股份有限公司,24789251,楊梅瑞溪分公司,桃園市楊梅區瑞溪路2段161、163號,1,1040410,1090213,121.1815677,24.9090634
16740494,全聯實業股份有限公司,24789750,沙鹿屏西分公司,臺中市沙鹿區鎮南路2段46號,1,1040410,1050309,120.5707182,24.2175158
16740494,全聯實業股份有限公司,24789822,高雄中泰分公司,高雄市楠梓區右昌街543號,1,1040413,1080610,120.2863381,22.7172954
16740494,全聯實業股份有限公司,24790118,三民鼎中分公司,高雄市三民區鼎中路668號1樓、2樓,1,1040417,1101103,120.3217127,22.6735717
16740494,全聯實業股份有限公司,24790567,國姓中興分公司,南投縣國姓鄉石門村中興路72號及成功街23號,1,1040428,1120307,120.8570849,24.0424056
16740494,全聯實業股份有限公司,24790623,永康中山南分公司,臺南市永康區中山南路451號,1,1040429,1130301,120.2476771,23.0217081
16740494,全聯實業股份有限公司,24790784,台南夏林分公司,臺南市南區夏林路71號,1,1040430,       ,120.1952648,22.9829201
16740494,全聯實業股份有限公司,24790861,台南永華分公司,臺南市南區永華路1段57號,3,1040501,       ,120.2585183,23.0123425
16740494,全聯實業股份有限公司,24791101,新竹南寮分公司,新竹市北區南寮里西濱路1段448號,1,1040507,1090513,120.9294599,24.8358535
16740494,全聯實業股份有限公司,24792170,新莊幸福分公司,新北市新莊區幸福路501、503號,1,1040522,1081111,121.4564834,25.049322
16740494,全聯實業股份有限公司,24792930,新竹武陵分公司,新竹市北區武陵路157-1號,1,1040604,1130509,120.9677462,24.8205933
16740494,全聯實業股份有限公司,24793017,民雄大學分公司,嘉義縣民雄鄉大學路3段218、220、222號,1,1040611,1090615,120.4347315,23.5547061
